item,frase,vies,pergunta,respA,respB
1,A menina comprou uma bicicleta muito grande para o seu tamanho.,treino,<b>Quantas bicicletas a menina comprou?</b>,Apenas uma,Mais de uma
2,Os cadernos caíram da mesa do aluno distraído.,treino,<b>Quantas mesas havia?</b>,Apenas uma,Mais de uma
3,O carro bateu no muro do hospital.,treino,<b>Quantos carros bateram no muro?</b>,Apenas um,Mais de um
4,As empregadas chegaram cedo no escritório.,treino,<b>Quantas empregadas chegaram cedo?</b>,Apenas uma,Mais de uma
5,A laranja estava muito azeda para ser servida na sobremesa.,treino,<b>Quantas laranjas estavam azedas?</b>,Apenas uma,Mais de uma
